sample	condition
Sperm-miRSeq-HFD2_R1_trimmed.40k.fq.gz	B_HFD
Sperm-miRSeq-HFD3_R1_trimmed.40k.fq.gz	B_HFD
Sperm-miRSeq-HFD4_R1_trimmed.40k.fq.gz	B_HFD
Sperm-miRSeq-HFD5_R1_trimmed.40k.fq.gz	B_HFD
Sperm-miRSeq-HFD6_R1_trimmed.40k.fq.gz	B_HFD
Sperm-miRSeq-HFD7_R1_trimmed.40k.fq.gz	B_HFD
Sperm-miRSeq-HFD8_R1_trimmed.40k.fq.gz	B_HFD
Sperm-miRSeq-HFD9_R1_trimmed.40k.fq.gz	B_HFD
Sperm-miRSeq-LFD1_R1_trimmed.40k.fq.gz	A_LFD
Sperm-miRSeq-LFD2_R1_trimmed.40k.fq.gz	A_LFD
Sperm-miRSeq-LFD3_R1_trimmed.40k.fq.gz	A_LFD
Sperm-miRSeq-LFD4_R1_trimmed.40k.fq.gz	A_LFD
Sperm-miRSeq-LFD5_R1_trimmed.40k.fq.gz	A_LFD
Sperm-miRSeq-LFD6_R1_trimmed.40k.fq.gz	A_LFD
Sperm-miRSeq-LFD7_R1_trimmed.40k.fq.gz	A_LFD
Sperm-miRSeq-LFD8_R1_trimmed.40k.fq.gz	A_LFD
Sperm-miRSeq-LFD9_R1_trimmed.40k.fq.gz	A_LFD
